dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2021-07-12 00:28:07.743075,30,639544,3566184,2.13,11.89,1102.55,6390.22,7492.77
2021-07-12 00:28:37.718231,30,2944572,7990960,9.82,26.64,5778.60,26165.52,31944.12
2021-07-12 00:29:07.678049,30,425264,3495132,1.42,11.65,733.24,6549.30,7282.54
2021-07-12 00:29:37.653135,30,375836,3118412,1.25,10.39,648.27,5582.47,6230.74
2021-07-12 00:30:07.628484,30,2849384,9143428,9.50,30.48,5539.25,37922.78,43462.03
2021-07-12 00:30:37.588605,30,2259428,7103472,7.53,23.68,4171.34,20614.42,24785.76
2021-07-12 00:31:07.563868,30,274232,2912700,0.91,9.71,473.62,5224.21,5697.83
2021-07-12 00:31:37.524042,30,1268808,5907088,4.23,19.69,2215.13,14948.64,17163.77
2021-07-12 00:32:07.499601,30,3557776,9627724,11.86,32.09,7467.69,41665.26,49132.95
2021-07-12 00:32:37.474759,30,1172784,5011884,3.91,16.71,2041.09,10715.21,12756.30
2021-07-12 00:33:07.434497,30,355440,2940504,1.18,9.80,613.21,5155.05,5768.26
2021-07-12 00:33:37.409635,30,408744,3257704,1.36,10.86,704.84,5902.90,6607.74
2021-07-12 00:34:07.369768,30,965452,4093548,3.22,13.65,1671.38,7511.86,9183.24
2021-07-12 00:34:37.344822,30,2718828,8152756,9.06,27.18,5219.94,28182.81,33402.75
2021-07-12 00:35:07.320096,30,2988308,9992720,9.96,33.31,5890.50,47866.55,53757.05
2021-07-12 00:35:37.280345,30,971264,6519504,3.24,21.73,1681.64,19114.27,20795.92
2021-07-12 00:36:07.255929,30,1981800,9536276,6.61,31.79,3587.02,44435.19,48022.21
2021-07-12 00:36:37.231226,30,3499244,10740180,11.66,35.80,7294.60,56925.40,64220.00
2021-07-12 00:37:07.206607,30,1445728,9820132,4.82,32.73,2541.41,48990.72,51532.13
2021-07-12 00:37:37.181963,30,2017432,8929148,6.72,29.76,3660.18,37455.34,41115.52
2021-07-12 00:38:07.142184,30,2394912,8434012,7.98,28.11,4469.26,31588.63,36057.88
2021-07-12 00:38:37.117364,30,2139524,8611948,7.13,28.71,3914.86,33903.23,37818.09
2021-07-12 00:39:07.092738,30,1543344,7945676,5.14,26.49,2724.95,28819.71,31544.66
2021-07-12 00:39:37.067987,30,1439588,6052352,4.80,20.17,2529.95,15447.14,17977.09
2021-07-12 00:40:07.028328,30,1644712,5680708,5.48,18.94,2918.50,13034.70,15953.20
2021-07-12 00:40:37.003725,30,3153828,9193848,10.51,30.65,6325.32,37703.10,44028.42
2021-07-12 00:41:06.978797,30,2381916,8516520,7.94,28.39,4440.29,32425.94,36866.23
2021-07-12 00:41:36.954126,30,1652408,5903616,5.51,19.68,2933.32,14211.35,17144.67
2021-07-12 00:42:06.914371,30,1414356,5845852,4.71,19.49,2482.98,14346.57,16829.54
2021-07-12 00:42:36.889755,30,3707612,10274304,12.36,34.25,7923.15,49615.39,57538.54
2021-07-12 00:43:06.865104,30,1592664,7346852,5.31,24.49,2818.73,23793.39,26612.12
2021-07-12 00:43:36.840507,30,741028,4711536,2.47,15.71,1278.46,10212.60,11491.06
2021-07-12 00:44:06.800550,30,928568,4625916,3.10,15.42,1606.35,9541.95,11148.30
2021-07-12 00:44:36.775791,30,3005744,8285092,10.02,27.62,5935.45,28697.47,34632.92
2021-07-12 00:45:06.751068,30,1337040,6187328,4.46,20.62,2340.05,16419.12,18759.17
2021-07-12 00:45:36.711025,30,1070264,4538784,3.57,15.13,1857.33,8950.04,10807.36
2021-07-12 00:46:06.686437,30,982092,5049672,3.27,16.83,1700.78,11221.85,12922.63
2021-07-12 00:46:36.661646,30,3155824,8122980,10.52,27.08,6330.68,26799.92,33130.60
2021-07-12 00:47:06.637041,30,1541280,7122896,5.14,23.74,2721.04,22206.84,24927.88
2021-07-12 00:47:36.597189,30,741780,5235888,2.47,17.45,1279.77,12486.79,13766.56
2021-07-12 00:48:06.572352,30,1483744,5422088,4.95,18.07,2612.57,12039.28,14651.85
2021-07-12 00:48:36.547804,30,3477808,8398900,11.59,28.00,7231.88,28486.14,35718.02
2021-07-12 00:49:06.507878,30,1658188,6918368,5.53,23.06,2944.47,20517.93,23462.39
2021-07-12 00:49:36.483031,30,1732512,9272928,5.78,30.91,3088.77,41839.09,44927.86
2021-07-12 00:50:06.458711,30,1768796,7279780,5.90,24.27,3159.89,22938.93,26098.82
2021-07-12 00:50:36.433917,30,1911460,9451228,6.37,31.50,3444.08,43562.02,47006.10
2021-07-12 00:51:06.393876,30,1510136,8014172,5.03,26.71,2662.21,29488.14,32150.35
2021-07-12 00:51:36.369247,30,1712772,7884792,5.71,26.28,3050.27,27963.37,31013.63
2021-07-12 00:52:06.344553,30,1502288,5834128,5.01,19.45,2647.43,14118.72,16766.14
2021-07-12 00:52:36.319930,30,2382060,7856228,7.94,26.19,4440.61,26326.23,30766.85
2021-07-12 00:53:06.280012,30,2368972,8896456,7.90,29.65,4411.52,36354.52,40766.04
2021-07-12 00:53:36.255206,30,2012436,9304744,6.71,31.02,3649.89,41643.69,45293.58
2021-07-12 00:54:06.230610,30,2430428,8177508,8.10,27.26,4548.85,29081.44,33630.29
2021-07-12 00:54:36.205966,30,2585392,8567184,8.62,28.56,4903.80,32465.51,37369.31
2021-07-12 00:55:06.166147,30,1768776,9745044,5.90,32.48,3159.85,47425.87,50585.72
2021-07-12 00:55:36.141464,30,1249816,6911748,4.17,23.04,2180.55,21235.55,23416.10
2021-07-12 00:56:06.116811,30,1389896,6121276,4.63,20.40,2437.60,15935.63,18373.23
2021-07-12 00:56:36.092322,30,2038244,10070124,6.79,33.57,3703.15,51074.55,54777.70
2021-07-12 00:57:06.052371,30,1130036,5706048,3.77,19.02,1964.22,14121.10,16085.33
2021-07-12 00:57:36.027693,30,613668,4049148,2.05,13.50,1057.83,7973.76,9031.59
2021-07-12 00:58:05.987526,30,921108,4880152,3.07,16.27,1593.22,10595.87,12189.09
2021-07-12 00:58:35.962891,30,2863700,9157124,9.55,30.52,5574.89,38040.46,43615.35
2021-07-12 00:59:05.938257,30,1665416,8765964,5.55,29.22,2958.42,36434.85,39393.27
2021-07-12 00:59:35.913775,30,1629908,9310932,5.43,31.04,2890.03,42474.95,45364.99
2021-07-12 01:00:05.873826,30,1902420,8321528,6.34,27.74,3425.85,31551.72,34977.57
2021-07-12 01:00:35.849232,30,2529336,8234976,8.43,27.45,4773.93,29389.15,34163.08
2021-07-12 01:01:05.824518,30,1861680,8417488,6.21,28.06,3344.07,32553.58,35897.65
2021-07-12 01:01:35.799887,30,1466708,7071116,4.89,23.57,2580.63,21969.76,24550.39
2021-07-12 01:02:05.760102,30,1808180,7223124,6.03,24.08,3237.61,22433.59,25671.20
2021-07-12 01:02:35.735295,30,1828876,6925212,6.10,23.08,3278.67,20231.68,23510.35
2021-07-12 01:03:05.710671,30,1894024,7810252,6.31,26.03,3408.94,26963.81,30372.76
2021-07-12 01:03:35.670687,30,937544,5135380,3.13,17.12,1622.16,11683.85,13306.01
2021-07-12 01:04:05.645996,30,1816920,6930112,6.06,23.10,3254.93,20289.79,23544.72
2021-07-12 01:04:35.621144,30,1289948,6177092,4.30,20.59,2253.72,16445.23,18698.96
2021-07-12 01:05:05.596411,30,1317424,7896700,4.39,26.32,2304.03,28812.91,31116.94
2021-07-12 01:05:35.556372,30,1754824,6589816,5.85,21.97,3132.45,18115.64,21248.10
2021-07-12 01:06:05.531764,30,896864,6338032,2.99,21.13,1550.61,18112.55,19663.16
2021-07-12 01:06:35.507067,30,1787916,6204256,5.96,20.68,3197.55,15661.52,18859.07
2021-07-12 01:07:05.467193,30,1524300,8574900,5.08,28.58,2688.93,34757.44,37446.37
2021-07-12 01:07:35.442474,30,853860,6459392,2.85,21.53,1475.22,18940.05,20415.27
2021-07-12 01:08:05.417970,30,1440596,6437700,4.80,21.46,2531.83,17747.40,20279.23
2021-07-12 01:08:35.393437,30,2004204,7570200,6.68,25.23,3632.96,24744.32,28377.28
2021-07-12 01:09:05.353654,30,1478028,8627420,4.93,28.76,2601.84,35372.31,37974.15
2021-07-12 01:09:35.328972,30,1998764,7462368,6.66,24.87,3621.79,23892.45,27514.23
2021-07-12 01:10:05.304246,30,1408420,7256040,4.69,24.19,2471.95,23447.03,25918.97
2021-07-12 01:10:35.264359,30,1784044,6607000,5.95,22.02,3189.91,18169.85,21359.76
2021-07-12 01:11:05.239749,30,1698296,7686028,5.66,25.62,3022.11,26305.10,29327.21
2021-07-12 01:11:35.214987,30,1094344,4424448,3.65,14.75,1900.31,8471.45,10371.76
2021-07-12 01:12:05.174889,30,170292,2733196,0.57,9.11,294.77,4959.82,5254.59
2021-07-12 01:12:35.150162,30,1308676,7034740,4.36,23.45,2287.99,21999.86,24287.85
2021-07-12 01:13:05.109980,30,865180,3951360,2.88,13.17,1495.04,7208.81,8703.86
2021-07-12 01:13:35.085124,30,109112,2586272,0.36,8.62,189.30,4716.55,4905.85
2021-07-12 01:14:05.045041,30,719256,3736052,2.40,12.45,1240.65,6771.01,8011.65
2021-07-12 01:14:35.020257,30,2249012,6817732,7.50,22.73,4148.80,18617.33,22766.13
2021-07-12 01:15:04.980308,30,821044,3907628,2.74,13.03,1417.85,7142.19,8560.04
2021-07-12 01:15:34.955472,30,445568,2960092,1.49,9.87,768.16,5050.01,5818.17
2021-07-12 01:16:04.915229,30,513760,3674276,1.71,12.25,885.52,6934.73,7820.25
2021-07-12 01:16:34.890654,30,1816080,6797084,6.05,22.66,3253.26,19372.00,22625.26
2021-07-12 01:17:04.865944,30,2001036,7919728,6.67,26.40,3626.45,27691.05,31317.51
2021-07-12 01:17:34.826040,30,977608,5487968,3.26,18.29,1692.85,13282.46,14975.31
2021-07-12 01:18:04.801177,30,1219644,5630516,4.07,18.77,2125.78,13568.18,15693.95
2021-07-12 01:18:34.776500,30,1220728,5557484,4.07,18.52,2127.74,13194.79,15322.53
2021-07-12 01:19:04.736755,30,1183176,5681692,3.94,18.94,2059.83,13898.48,15958.32
2021-07-12 01:19:34.712073,30,1283468,5334020,4.28,17.78,2241.88,11985.98,14227.86
2021-07-12 01:20:04.687278,30,557760,3788972,1.86,12.63,961.34,7216.80,8178.13
2021-07-12 01:20:34.647491,30,1382828,4963444,4.61,16.54,2424.51,10120.94,12545.45
2021-07-12 01:21:04.622755,30,889728,6632692,2.97,22.11,1538.09,19989.44,21527.53
2021-07-12 01:21:34.582677,30,193368,3287276,0.64,10.96,334.51,6355.03,6689.53
2021-07-12 01:22:04.557709,30,313512,3315752,1.05,11.05,541.15,6227.74,6768.89
2021-07-12 01:22:34.517796,30,2033276,8391212,6.78,27.97,3692.88,31951.04,35643.92
2021-07-12 01:23:04.493069,30,680336,4120256,2.27,13.73,1173.16,8102.17,9275.33
2021-07-12 01:23:34.452983,30,194884,3361912,0.65,11.21,337.12,6561.66,6898.78
2021-07-12 01:24:04.428280,30,256304,3381232,0.85,11.27,442.79,6510.82,6953.61
2021-07-12 01:24:34.403507,30,1863796,8697984,6.21,28.99,3348.30,35343.76,38692.06
2021-07-12 01:25:04.363456,30,853836,4090592,2.85,13.64,1475.18,7697.90,9173.09
2021-07-12 01:25:34.338446,30,312284,3249156,1.04,10.83,539.04,6045.18,6584.21
2021-07-12 01:26:04.298404,30,700608,3550396,2.34,11.83,1208.29,6237.43,7445.72
2021-07-12 01:26:34.273680,30,2576904,8771904,8.59,29.24,4884.03,34570.98,39455.00
2021-07-12 01:27:04.233580,30,401012,3272384,1.34,10.91,691.54,5956.72,6648.26
2021-07-12 01:27:34.208650,30,239032,3042324,0.80,10.14,413.09,5617.31,6030.40
2021-07-12 01:28:04.168432,30,380980,3043756,1.27,10.15,657.11,5377.02,6034.13
2021-07-12 01:28:34.143811,30,2588728,7474820,8.63,24.92,4911.58,22701.26,27612.84
2021-07-12 01:29:04.103623,30,497028,3196640,1.66,10.66,856.71,5584.10,6440.81
2021-07-12 01:29:34.078719,30,318488,2895188,1.06,9.65,549.70,5104.02,5653.72
2021-07-12 01:30:04.038802,30,495968,3123584,1.65,10.41,854.88,5389.62,6244.50
2021-07-12 01:30:34.013960,30,1943688,6220092,6.48,20.73,3509.33,15443.59,18952.92
2021-07-12 01:31:03.973904,30,658440,3793592,2.19,12.65,1135.24,7057.54,8192.78
2021-07-12 01:31:33.949036,30,341528,3046396,1.14,10.15,589.30,5451.72,6041.02
2021-07-12 01:32:03.908822,30,363952,3603260,1.21,12.01,627.84,6976.21,7604.05
2021-07-12 01:32:33.884049,30,1218612,5158784,4.06,17.20,2123.91,11288.28,13412.19
2021-07-12 01:33:03.843937,30,457544,3906864,1.53,13.02,788.76,7768.78,8557.54
2021-07-12 01:33:33.819128,30,475856,3424104,1.59,11.41,820.27,6256.01,7076.27
2021-07-12 01:34:03.779016,30,445316,3428856,1.48,11.43,767.73,6322.23,7089.95
2021-07-12 01:34:33.754261,30,1027700,5056788,3.43,16.86,1781.59,11172.55,12954.14
2021-07-12 01:35:03.714220,30,584192,3484256,1.95,11.61,1006.93,6243.78,7250.71
2021-07-12 01:35:33.673892,30,88604,2540348,0.30,8.47,153.90,4645.41,4799.31
2021-07-12 01:36:03.649136,30,294940,2956120,0.98,9.85,509.22,5298.81,5808.03
2021-07-12 01:36:33.609007,30,680736,4068768,2.27,13.56,1173.85,7924.53,9098.38
2021-07-12 01:37:03.583970,30,116528,2722160,0.39,9.07,202.09,5025.87,5227.96
2021-07-12 01:37:33.543897,30,208232,2693820,0.69,8.98,360.09,4799.83,5159.92
2021-07-12 01:38:03.503807,30,441208,3442864,1.47,11.48,760.66,6369.72,7130.38
2021-07-12 01:38:33.478907,30,1014264,4771780,3.38,15.91,1757.75,9979.16,11736.91
2021-07-12 01:39:03.454107,30,961432,5108772,3.20,17.03,1664.28,11521.79,13186.07
2021-07-12 01:39:33.414190,30,1727320,6138772,5.76,20.46,3078.63,15396.23,18474.86
2021-07-12 01:40:03.389295,30,460420,3145412,1.53,10.48,793.71,5509.06,6302.77
2021-07-12 01:40:33.349246,30,805524,4752564,2.69,15.84,1390.76,10267.31,11658.07
2021-07-12 01:41:03.324386,30,394548,3145932,1.32,10.49,680.43,5623.73,6304.16
2021-07-12 01:41:33.284194,30,383808,3630368,1.28,12.10,661.97,7024.13,7686.10
2021-07-12 01:42:03.259598,30,2205396,9651708,7.35,32.17,4054.95,45372.45,49427.40
2021-07-12 01:42:33.219467,30,527492,4002416,1.76,13.34,909.17,7964.73,8873.91
2021-07-12 01:43:03.194482,30,537100,3157124,1.79,10.52,925.73,5408.44,6334.17
2021-07-12 01:43:33.154381,30,240416,3440412,0.80,11.47,415.47,6707.83,7123.29
2021-07-12 01:44:03.129650,30,1441580,6871156,4.81,22.90,2533.67,20600.07,23133.74
2021-07-12 01:44:33.089524,30,754768,4290580,2.52,14.30,1302.35,8575.94,9878.28
2021-07-12 01:45:03.064757,30,676440,3963280,2.25,13.21,1166.41,7576.95,8743.35
2021-07-12 01:45:33.024824,30,2314316,9278268,7.71,30.93,4290.96,40698.13,44989.09
